Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,,07/29/2019 12:00:00 AM,Brooklyn,Playground,Tilden Playground,The LEGO Movie 2: The Second Part(2019),Community Based Event,Mobile Unit,M.U.T.S,37,General Public
Recreation,,07/29/2019 09:00:00 AM,Bronx,Pool,Claremont,Shape Up NYC - Yoga,Agency Produced Event,Fitness,Cool Pools,2,Adults
Urban Park Rangers,,07/29/2019 10:30:00 AM,Staten Island,Pool,Tottenville,Leapin' Lily Pads,Agency Produced Event,Nature,Cool Pools,29,General Public
Urban Park Rangers,,07/29/2019 10:30:00 AM,Brooklyn,Pool,Commodore barry,Cool Pools,Agency Produced Event,Nature,Cool Pools,10,General Public
Urban Park Rangers,,07/29/2019 11:00:00 AM,Queens,Pool,Fisher Pool,Fishing at Fisher Pool,Agency Produced Event,Nature,Cool Pools,13,Children;#Young Adult;#Adults;#General Public
Recreation,,07/29/2019 06:00:00 PM,Staten Island,Pool,Tottenville,Shape Up NYC - Yoga,Agency Produced Event,Fitness,Cool Pools,2,Adults
Recreation,Forest Park and Highland Park Administrator,07/29/2019 08:45:00 PM,Queens,Park,Highland Park,Black Panther,Community Based Event,Mobile Unit,M.U.T.S,100,General Public
Recreation,,07/30/2019 12:00:00 AM,Brooklyn,Park,Bushwick Inlet Park,A Star is Born(2018),Community Based Event,Mobile Unit,M.U.T.S,352,General Public
Urban Park Rangers,,07/30/2019 10:00:00 AM,Manhattan,Pool,Dry Dock,Fly Fishing,Agency Produced Event,Nature,Cool Pools,19,General Public
Recreation,NYC Parks,07/30/2019 11:00:00 AM,Queens,Pool,Liberty,Cool Pools,Community Based Event,Mobile Unit,Play,47,General Public
Recreation,,07/30/2019 01:00:00 PM,Bronx,Pool,Mapes,Cool Pools,Agency Produced Event,Mobile Unit,Play,63,General Public
Recreation,Council Member Diana Ayala,07/30/2019 01:00:00 PM,Manhattan,Other,106th Street Bet. 3rd Avenue and Lexington Avenue,East Harlem Youth Fair,Community Based Event,Mobile Unit,Play,500,Children
Recreation,,07/30/2019 07:00:00 PM,Manhattan,Playground,Matthew P. Sapolin Playground,MUTS: The Lego Movie 2: The Second Part,Community Based Event,Mobile Unit,M.U.T.S,85,Children;#Teens;#General Public
Recreation,,07/30/2019 08:30:00 PM,Bronx,Park,Williamsbridge Oval Park,Incredibles 2,Community Based Event,Mobile Unit,M.U.T.S,160,General Public
Recreation,,07/30/2019 08:45:00 PM,Brooklyn,Park,Saratoga Park,If Beale Street Could Talk (2018),Community Based Event,Mobile Unit,M.U.T.S,55,General Public
